sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
120,7,2,aesthetic,0,bathroom,sun_azqyogdvyhahyram.tif,170,1.5,0,0.933333333333333,1499587.1859466,1499588.9201687,50,NaN,1499588.6895119,1499588.9256665,1499589.8573417,NaN,NaN
120,8,2,aesthetic,0,bathroom,sun_aqrpegblszgcoujh.tif,158,1.5,0,0.916666666666667,1499589.8635169,1499591.670815,51,NaN,1499591.3666316,1499591.6765191,1499592.5915274,NaN,NaN
120,9,2,aesthetic,0,bathroom,sun_aspsyogrekjtfozg.tif,160,1.5,0,1.1,1499592.597349,1499594.3672315,54,NaN,1499594.1004792,1499594.3733928,1499595.4717344,NaN,NaN
120,10,2,aesthetic,0,bathroom,sun_axldvoqbuvuggfmq.tif,167,1.5,0,1.16666666666667,1499595.4781029,1499597.3712604,51,NaN,1499596.9820728,1499597.3776617,1499598.5426671,NaN,NaN
120,11,2,aesthetic,0,bathroom,sun_abjtwfukuwddzted.tif,125,1.5,0,0.783333333333333,1499598.5487824,1499600.052564,52,NaN,1499600.0523394,1499600.0788613,1499600.8605332,NaN,NaN
120,12,2,aesthetic,0,bathroom,sun_abapwbhyhkfixyex.tif,124,1.5,0,1.95,1499600.8663832,1499602.6884269,53,NaN,1499602.3695257,1499602.6957123,1499604.6440509,NaN,NaN
120,13,2,aesthetic,0,bathroom,sun_anryaplzeujmzfkd.tif,149,1.5,0,1.05,1499604.6502598,1499606.1546809,54,NaN,1499606.1544459,1499606.1803153,1499607.2286543,NaN,NaN
120,14,2,aesthetic,0,bathroom,sun_ausgutylgojavyoq.tif,163,1.5,0,1.03333333333333,1499607.2346979,1499609.2271561,53,NaN,1499608.7387856,1499609.2326185,1499610.2643126,NaN,NaN
120,15,2,aesthetic,0,bathroom,sun_aggnnqpdorgxpvce.tif,131,1.5,0,1.45,1499610.2710631,1499612.0439644,54,NaN,1499611.7749438,1499612.0495283,1499613.4978673,NaN,NaN
120,16,2,aesthetic,0,bathroom,sun_aljolscmmzydegqp.tif,143,1.5,0,0.966666666666667,1499613.5040185,1499615.2999837,53,NaN,1499615.0071691,1499615.3055437,1499616.2705512,NaN,NaN
120,17,2,aesthetic,0,bathroom,sun_aghyqhbptboemmoq.tif,133,1.5,0,0.966666666666667,1499616.2768401,1499618.1510523,51,NaN,1499617.7802963,1499618.1566528,1499619.1216578,NaN,NaN
120,18,2,aesthetic,0,bathroom,sun_alkosphxlxwjwgjd.tif,144,1.5,0,1.2,1499619.1278369,1499620.884579,54,NaN,1499620.6305045,1499620.8906642,1499622.0890067,NaN,NaN
120,19,2,aesthetic,0,bathroom,sun_apeeialkgkuxddgh.tif,152,1.5,0,0.933333333333333,1499622.0963248,1499623.9283672,52,NaN,1499623.5996817,1499623.9338225,1499624.8654981,NaN,NaN
120,20,2,aesthetic,0,bathroom,sun_aleqenyvunhactkl.tif,142,1.5,0,1.31666666666667,1499624.871787,1499626.6719359,51,NaN,1499626.3752699,1499626.6772696,1499627.9922892,NaN,NaN
120,21,2,aesthetic,0,bathroom,sun_ajlawzvmubibwbpy.tif,140,1.5,0,1.18333333333333,1499628.0001518,1499629.928996,53,NaN,1499629.5038845,1499629.9345205,1499631.1161917,NaN,NaN
120,22,2,aesthetic,0,bathroom,labelme_sfxiulhjbhlyiyt.tif,121,1.5,0,1.71666666666667,1499631.1223102,1499633.4941501,52,NaN,1499632.6266445,1499633.5005775,1499635.2155859,NaN,NaN
120,23,2,aesthetic,0,bathroom,sun_aavhrsfjbserjtht.tif,123,1.5,0,1.53333333333333,1499635.2214907,1499636.7737444,54,NaN,1499636.7244867,1499636.7789365,1499638.3106113,NaN,NaN
120,24,2,aesthetic,0,bathroom,sun_acegryoqftbzowsg.tif,127,1.5,0,0.933333333333333,1499638.3167132,1499640.2706524,51,NaN,1499639.8205462,1499640.276178,1499641.2078523,NaN,NaN
120,25,2,aesthetic,0,bathroom,sun_agrwbmhcpmfuwmsg.tif,134,1.5,0,0.916666666666667,1499641.2141786,1499643.093922,53,NaN,1499642.7178405,1499643.1007893,1499644.015795,NaN,NaN
