sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
114,1,1,typicality,0,bathroom,sun_aapitsgbtktqubfy.tif,122,1.5,0,0.866666666666667,1338.371810583,1343.23696525,6,NaN,1343.243448333,1343.262043875,1344.122059333,NaN,NaN
114,2,1,typicality,0,bathroom,sun_aleqenyvunhactkl.tif,142,1.5,0,1.03333333333333,1344.126756792,1349.956054208,3,NaN,1349.962133375,1349.980546958,1351.007271958,NaN,NaN
114,3,1,typicality,0,bathroom,sun_ajlawzvmubibwbpy.tif,140,1.5,0,0.866666666666667,1351.015463458,1356.540314,4,NaN,1356.546081167,1356.564350542,1357.424355125,NaN,NaN
114,4,1,typicality,0,bathroom,sun_alkosphxlxwjwgjd.tif,144,1.5,0,1.61666666666667,1357.429013042,1363.324313583,2,NaN,1363.330753542,1363.349355542,1364.95941425,NaN,NaN
114,5,1,typicality,0,bathroom,sun_anhioqovhscjqqwb.tif,148,1.5,0,0.883333333333333,1364.978268958,1370.132564083,6,NaN,1370.138636542,1370.157079625,1371.033751625,NaN,NaN
114,6,1,typicality,0,bathroom,sun_alotolagknyrgtsk.tif,145,1.5,0,0.933333333333333,1371.038310875,1375.604141958,1,NaN,1375.609952958,1375.628255208,1376.554927,NaN,NaN
114,7,1,typicality,0,bathroom,sun_aghyqhbptboemmoq.tif,133,1.5,0,1.5,1376.559378875,1381.988438375,7,NaN,1381.994429667,1382.012835458,1383.506205292,NaN,NaN
114,8,1,typicality,0,bathroom,sun_asfwthctfqerjvxr.tif,159,1.5,0,1.36666666666667,1383.522015917,1393.027718792,1,NaN,1393.034531917,1393.053065208,1394.413115167,NaN,NaN
114,9,1,typicality,0,bathroom,sun_agyqfjcfkdcydepw.tif,135,1.5,0,0.85,1394.430890667,1397.860550917,1,NaN,1397.866133458,1397.884359083,1398.727696542,NaN,NaN
114,10,1,typicality,0,bathroom,sun_apeeialkgkuxddgh.tif,152,1.5,0,1.81666666666667,1398.732256292,1402.30765275,7,NaN,1402.313793708,1402.332576958,1404.142612583,NaN,NaN
114,11,1,typicality,0,bathroom,sun_acegryoqftbzowsg.tif,127,1.5,0,1.28333333333333,1404.16182275,1408.596198792,4,NaN,1408.604832708,1408.6232935,1409.900000458,NaN,NaN
114,12,1,typicality,0,bathroom,sun_anryaplzeujmzfkd.tif,149,1.5,0,1.23333333333333,1409.919263583,1414.675543583,3,NaN,1414.681643708,1414.699966958,1415.926688667,NaN,NaN
114,13,1,typicality,0,bathroom,sun_amzlamotzwfkwjco.tif,147,1.5,0,0.883333333333333,1415.942247333,1423.787590458,3,NaN,1423.793798292,1423.812138958,1424.68881025,NaN,NaN
114,14,1,typicality,0,bathroom,sun_afcoljnjfoxjtgja.tif,130,1.5,0,0.866666666666667,1424.693445542,1430.956530333,4,NaN,1430.962248042,1430.98067175,1431.840676083,NaN,NaN
114,15,1,typicality,0,bathroom,sun_aclfzgynxzxlbepz.tif,129,1.5,0,1.36666666666667,1431.845144708,1437.827801333,6,NaN,1437.833582042,1437.851813292,1439.211866708,NaN,NaN
114,16,1,typicality,0,bathroom,sun_acduarbnmmoglmiv.tif,126,1.5,0,1.05,1439.226127667,1444.684263458,5,NaN,1444.690692792,1444.709072,1445.752440083,NaN,NaN
114,17,1,typicality,0,bathroom,sun_auzqhkafidnkrwmo.tif,164,1.5,0,1.21666666666667,1445.760861667,1454.524080958,4,NaN,1454.530844208,1454.549190333,1455.759226125,NaN,NaN
114,18,1,typicality,0,bathroom,sun_aofnryafpsjimzsb.tif,150,1.5,0,0.816666666666667,1455.769663125,1459.980327292,2,NaN,1459.98602625,1460.004330708,1460.814335583,NaN,NaN
114,19,1,typicality,0,bathroom,sun_apmqjbnwghzuhhzh.tif,156,1.5,0,1,1460.818827167,1466.01219075,3,NaN,1466.017799583,1466.036067583,1467.029406542,NaN,NaN
114,20,1,typicality,0,bathroom,sun_abjtwfukuwddzted.tif,125,1.5,0,1.21666666666667,1467.034024667,1472.419644875,5,NaN,1472.425857833,1472.444313083,1473.65437125,NaN,NaN
114,21,1,typicality,0,bathroom,sun_awnqiikzaispgmwo.tif,166,1.5,0,1.46666666666667,1473.671305708,1478.547780792,7,NaN,1478.553521917,1478.571850583,1480.031901042,NaN,NaN
114,22,1,typicality,0,bathroom,sun_aljolscmmzydegqp.tif,143,1.5,0,1.4,1480.046796583,1486.25970525,4,NaN,1486.265556917,1486.283805,1487.677184875,NaN,NaN
114,23,1,typicality,0,bathroom,sun_abapwbhyhkfixyex.tif,124,1.5,0,0.783333333333333,1487.694250333,1493.307844833,4,NaN,1493.313624875,1493.332140458,1494.108813083,NaN,NaN
114,24,1,typicality,0,bathroom,labelme_sfxiulhjbhlyiyt.tif,121,1.5,0,1.21666666666667,1494.113366917,1497.715622333,7,NaN,1497.721438417,1497.739776667,1498.94983575,NaN,NaN
114,25,1,typicality,0,bathroom,sun_axldvoqbuvuggfmq.tif,167,1.5,0,1.35,1498.968483667,1502.467290667,6,NaN,1502.47337075,1502.491748125,1503.835120125,NaN,NaN
