sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
123,25,1,usability,0,kitchen,sun_agubuxuukhzyzpdp.tif,198,1.5,0,0.966666666666667,4100.004332625,4102.862926458,4,NaN,4102.894103583,4102.916780541,4103.876792041,NaN,NaN
123,1,2,usability,0,kitchen,sun_ajkqhtgcbgpcwrwn.tif,207,1.5,0,1.56666666666667,4108.099803666,4111.776151583,4,NaN,4111.781614708,4111.799982875,4113.360060666,NaN,NaN
123,2,2,usability,0,kitchen,sun_avszsnwsbuqfgzbn.tif,215,1.5,0,1.2,4113.379027458,4116.007572208,3,NaN,4116.013236208,4116.031678666,4117.225066125,NaN,NaN
123,3,2,usability,0,kitchen,sun_admlmbcdswaszruo.tif,189,1.5,0,1.73333333333333,4117.239882708,4119.799850833,5,NaN,4119.805474458,4119.8240695,4121.55084225,NaN,NaN
123,4,2,usability,0,kitchen,sun_abdxkyyxwfskuaqb.tif,180,1.5,0,1.61666666666667,4121.569285708,4125.647771333,2,NaN,4125.653604583,4125.671914833,4127.282006875,NaN,NaN
123,5,2,usability,0,kitchen,sun_aypmqwcualkenuoe.tif,219,1.5,0,1.38333333333333,4127.299283875,4130.585309416,2,NaN,4130.611728875,4130.635050416,4132.011806458,NaN,NaN
123,6,2,usability,0,kitchen,sun_agzzivivdpnawacl.tif,199,1.5,0,1.73333333333333,4132.030757,4135.080359541,4,NaN,4135.085820125,4135.104202916,4136.830935583,NaN,NaN
123,7,2,usability,0,kitchen,sun_aaxxjlsuzvqlgylf.tif,178,1.5,0,1.96666666666667,4136.848108541,4140.183036541,5,NaN,4140.209700708,4140.232781291,4142.192890666,NaN,NaN
123,8,2,usability,0,kitchen,sun_abftihopvusyfakt.tif,181,1.5,0,0.883333333333333,4142.207411208,4145.975721625,4,NaN,4145.981384166,4145.999798666,4146.87647325,NaN,NaN
123,9,2,usability,0,kitchen,sun_agorklincwxrdtga.tif,197,1.5,0,1.06666666666667,4146.8806655,4150.656021583,5,NaN,4150.661723208,4150.680034416,4151.740106166,NaN,NaN
123,10,2,usability,0,kitchen,labelme_brsyyvweiuaazfr.tif,171,1.5,0,1.06666666666667,4151.749845583,4154.447856958,3,NaN,4154.453356666,4154.471745125,4155.531819375,NaN,NaN
123,11,2,usability,0,kitchen,sun_afuyedyxivkhecmu.tif,195,1.5,0,0.966666666666667,4155.541101541,4158.400376791,2,NaN,4158.40576075,4158.424564458,4159.384573,NaN,NaN
123,12,2,usability,0,kitchen,sun_aegoxogugdkwpmpj.tif,190,1.5,0,1.78333333333333,4159.390313958,4161.859673041,1,NaN,4161.886525791,4161.90996625,4163.686698833,NaN,NaN
123,13,2,usability,0,kitchen,sun_axyyrmzcupyhlivc.tif,217,1.5,0,1.68333333333333,4163.703768416,4166.435570166,2,NaN,4166.459023958,4166.481368708,4168.15813,NaN,NaN
123,14,2,usability,0,kitchen,sun_abpwyqmlzafvklqo.tif,182,1.5,0,0.983333333333333,4168.177617041,4171.521105666,2,NaN,4171.549779916,4171.573610875,4172.55028625,NaN,NaN
123,15,2,usability,0,kitchen,sun_abdenxonkemggwsq.tif,179,1.5,0,1.33333333333333,4172.555190166,4175.943724541,2,NaN,4175.949216916,4175.967485125,4177.294215916,NaN,NaN
123,16,2,usability,0,kitchen,sun_acgtpgfybqjmzeyw.tif,185,1.5,0,1.56666666666667,4177.314654083,4180.535644666,3,NaN,4180.541274875,4180.559485958,4182.119565875,NaN,NaN
123,17,2,usability,0,kitchen,sun_ahspylgoovwmwvgk.tif,203,1.5,0,1.66666666666667,4182.137148708,4184.799947916,7,NaN,4184.80524925,4184.823667958,4186.483770708,NaN,NaN
123,18,2,usability,0,kitchen,sun_auticobqsbwgoppi.tif,214,1.5,0,1.86666666666667,4186.503289875,4189.332841041,3,NaN,4189.360408791,4189.38430575,4191.244406041,NaN,NaN
123,19,2,usability,0,kitchen,sun_aqeaevwwwjoqhzvl.tif,211,1.5,0,1.95,4191.264283791,4194.919661333,5,NaN,4194.92523075,4194.943393333,4196.886794541,NaN,NaN
123,20,2,usability,0,kitchen,sun_acfmftudsenhrfhy.tif,184,1.5,0,0.966666666666667,4196.906155208,4200.026324875,4,NaN,4200.049933541,4200.073916916,4201.0339275,NaN,NaN
123,21,2,usability,0,kitchen,sun_abrcnpqqhmjwekyf.tif,183,1.5,0,1.43333333333333,4201.038580208,4205.128260333,4,NaN,4205.133628916,4205.1519945,4206.578760166,NaN,NaN
123,22,2,usability,0,kitchen,sun_ahdycvpopffkzzsu.tif,200,1.5,0,0.85,4206.597371583,4210.352126208,6,NaN,4210.357447208,4210.37570775,4211.219051,NaN,NaN
123,23,2,usability,0,kitchen,sun_ahljzhgcdpomplvg.tif,201,1.5,0,1.53333333333333,4211.240286708,4214.728229875,3,NaN,4214.733579625,4214.751847041,4216.278591416,NaN,NaN
123,24,2,usability,0,kitchen,sun_akchetnepxlcxhsu.tif,208,1.5,0,1.18333333333333,4216.296603375,4219.839267208,6,NaN,4219.845012541,4219.863462583,4221.040215333,NaN,NaN
123,25,2,usability,0,kitchen,sun_aarfiyshqohlwkmo.tif,177,1.5,0,1.86666666666667,4221.051883833,4224.30401625,3,NaN,4224.309583,4224.327718166,4226.18779675,NaN,NaN
